,users,ratings,shorts,times
92,托尼·王大拿,5,每一个章节都似曾相识，但却能拍出全新的感觉，以暴制暴刻画人的动物性；话说故事写的生猛邪性其实不是个事，但镜头还耍得那么溜真是屌炸。,2015-10-29
93,獨孤島主,3,作天作地仇胜海，嘲南笑北自寻坟,2016-04-10
94,Eco,3,故事这东西，越来越不能引起我的兴趣了。为什么每次看到电影花这么大的成本就是为了给你讲好一个故事，我就觉得是暴殄天物呢？喜剧最终演变成一种闹剧，我们每个人都很空虚，我们需要别人的故事、别人的生活来填满自己的这份空虚。故事终究是这个社会序列中的一部分，因为它许诺一种短暂的逃避。,2015-10-04
95,古尔齐亚,5,太尼玛好看了！！！！我喜欢！！！！真的好蛮荒啊！！！！编剧跪服太赞了！！！,2017-09-22
96,坦克手贝吉塔,3,司机互殴最棒,2016-02-09
97,徐若风,4,《天注定》喜剧版本，比它燃无数倍，因为抓住的是无定项抓狂的无语小事，而且也没有过度的符号滥用。观感超好，看过的最好玩最好笑的阿根廷电影，民族特色也很强。有着鲜明商业价值的文艺荒诞无稽片。,2015-02-26
98,胖达叔,4,此剧最大的特点在于以极快速度营造一个失控的情境，人物情绪失控/情节随之失控，此时故事掌控的水准就得以彰显。人类永远是愚蠢的典范，正是有了愚蠢，我们才得以瞧见人的卑微。,2016-02-15
99,朱老板,5,ICBC,2016-03-21
100,is4dog,3,就那样…平庸而不太好看，感觉是很年轻的人在装深刻。,2015-08-15
101,猪头小队长,5,精彩。除了开头和结尾两个故事有些“离奇”之外，其他的故事都具备很高的合理性，这更增加了现实的荒诞。现实主义题材的黑镜。,2018-11-03
102,Clyde,4,“复仇”主题集锦片：六个暴力小故事，全都来自人性的荒蛮——睚眦必报（全机覆没）、快意恩仇（餐厅复仇）、恶恶相向（两车互殴）、只认死理（车场爆炸）、贪婪博弈（顶包事件）、撕逼大战（婚礼混战）。暴力之余，带有许多黑色幽默的成分，这也是该片和《天注定》的最明显的差别。,2015-02-26
103,Peter Cat,4,还是挺好看的，但是也就止于挺好看的。,2015-09-16
104,托尼·王大拿,5,每一个章节都似曾相识，但却能拍出全新的感觉，以暴制暴刻画人的动物性；话说故事写的生猛邪性其实不是个事，但镜头还耍得那么溜真是屌炸。,2015-10-29
105,古尔齐亚,5,太尼玛好看了！！！！我喜欢！！！！真的好蛮荒啊！！！！编剧跪服太赞了！！！,2017-09-22
106,Yeoman,5,具备传统故事的不可磨损性和寓言性，近题材来说分开拍成5部也未尝不可，与贾樟柯的《天注定》相比，导演虽然也使用新闻速写式的节奏，但紧紧把握住问题的本质，而脱离了地域、意识形态和时效的局限。,2018-09-25
107,熊阿姨,4,没有大家口中说的那么精彩，配饭视频一次一个还不错。,2015-06-08
108,梦里诗书,5,六个看似独立的《蛮荒故事》，却又恰能互成排比将寓意给以了极佳的升华，且每个故事的剧情张力皆几近充盈，那文明世界所发生的野蛮与荒诞，就是今下被浓缩的现实，电影不但辛辣讥嘲着社会乱像的种种，更揭示了人性阴暗面的丑陋。,2015-03-29
109,蜉蝣,4,惊喜之作！精心编排的黑色荒诞喜剧。狂放失控又肃然起敬。公路烧车和黑色婚礼两场都是看过的同类型设定中处理得最好的。边看边感叹“哈哈哈哈导演（也是编剧）是不是疯啦！”,2015-03-09
110,大头绿豆,4,参差不齐。第一、三、六最屌。,2017-04-11
111,余小岛,4,第一个故事好厉害！,2015-04-03
